mass, radius, density
8.7449962898176e+32 9.9103850405999e+11 4.8500736957717e-01
8.7783647103816e+32 9.9159298270831e+11 4.9417700854797e-01
8.8122848157414e+32 9.9214061214700e+11 4.9969559471976e-01
8.8459131711804e+32 9.9268578394006e+11 5.0144083414949e-01
8.8795384265611e+32 9.9322374611516e+11 5.0760977799137e-01
8.9131041008557e+32 9.9375361390118e+11 5.1482037537408e-01
8.9468070040730e+32 9.9427673077642e+11 5.2086581398135e-01
8.9802899085731e+32 9.9479198197083e+11 5.2829812674544e-01
9.0155628070295e+32 9.9530808554981e+11 5.4222563143049e-01
9.0491662053828e+32 9.9581258851602e+11 5.5434930334876e-01
9.0834864440590e+32 9.9630585160647e+11 5.5019337828038e-01
9.1173406866649e+32 9.9680602943965e+11 5.4196686104963e-01
9.1504210820693e+32 9.9729499921621e+11 5.5410350848795e-01
9.1863850369602e+32 9.9778849139500e+11 5.6440343620628e-01
9.2198097027760e+32 9.9827769090291e+11 5.6899528573951e-01
9.2539613363918e+32 9.9875102854258e+11 5.7046103720082e-01
9.2877365364403e+32 9.9922761027025e+11 5.6604051884863e-01
9.3226132789142e+32 9.9970366908779e+11 5.8273938111573e-01
9.3565633183512e+32 1.0001683887431e+12 5.9633833574647e-01
9.3895887692214e+32 1.0006103648817e+12 6.0893015868619e-01
9.4252836670104e+32 1.0010523397145e+12 6.2588388677895e-01
9.4587255032598e+32 1.0014875637356e+12 6.3543059835014e-01
9.4924121940470e+32 1.0019032251660e+12 6.4542759765975e-01
9.5281071599379e+32 1.0023275046879e+12 6.5026451266069e-01
9.5615584973195e+32 1.0027454912502e+12 6.5991559212573e-01
9.5972651880743e+32 1.0031569891898e+12 6.6938158637026e-01
9.6308451797366e+32 1.0035640312706e+12 6.7639899618121e-01
9.6640705578633e+32 1.0039491819922e+12 6.9390634874231e-01
9.6996431325431e+32 1.0043354799353e+12 7.1127466663811e-01
9.7331808683817e+32 1.0047157490840e+12 7.2240262659001e-01
9.7683434077279e+32 1.0050853010883e+12 7.4235573340017e-01
9.8020836451581e+32 1.0054470543094e+12 7.5801310334685e-01
9.8375729142745e+32 1.0058042198442e+12 7.6704518072900e-01
9.8712066996941e+32 1.0061560102818e+12 7.7844060149351e-01
9.9068798592772e+32 1.0065040984626e+12 7.8593767707758e-01
9.9423441435310e+32 1.0068570035798e+12 7.9705533378380e-01
9.9760319408903e+32 1.0071951289736e+12 8.0818161010573e-01
1.0011611390574e+33 1.0075293548499e+12 8.1681605990232e-01
1.0045220300414e+33 1.0078591892417e+12 8.2745275502950e-01
1.0080935269097e+33 1.0081857140655e+12 8.3504684899127e-01
1.0116544231441e+33 1.0085185308862e+12 8.4223987242089e-01
1.0150106053164e+33 1.0088376165545e+12 8.5370657493805e-01
1.0185709174208e+33 1.0091520486170e+12 8.6539411309392e-01
1.0221311524381e+33 1.0094715275823e+12 8.7571773391746e-01
1.0254886508893e+33 1.0097778986850e+12 8.8745531211515e-01
1.0290403785797e+33 1.0100791905957e+12 9.0141690411742e-01
1.0326017803066e+33 1.0103847095476e+12 9.1404925882453e-01
1.0359697193595e+33 1.0106786931346e+12 9.2305198339186e-01
1.0395416996426e+33 1.0109704488547e+12 9.2933631112072e-01
1.0431055665027e+33 1.0112681683235e+12 9.3632243001957e-01
1.0466516966709e+33 1.0115613326597e+12 9.5046796037403e-01
1.0500035225799e+33 1.0118408650603e+12 9.6879694139153e-01
1.0535477612626e+33 1.0121146946080e+12 9.8775065387499e-01
1.0570846414537e+33 1.0123899332777e+12 1.0105846459670e+00
1.0606156927562e+33 1.0126577986776e+12 1.0379302410942e+00
1.0641541842512e+33 1.0129185849867e+12 1.0655063805952e+00
1.0676972385889e+33 1.0131733414067e+12 1.0902006765756e+00
1.0710459096296e+33 1.0134158743020e+12 1.1129956854231e+00
1.0745914461854e+33 1.0136533605809e+12 1.1354189835929e+00
1.0781440031952e+33 1.0138932387767e+12 1.1559295896426e+00
1.0817008244778e+33 1.0141294793708e+12 1.1732575771836e+00
1.0852552599826e+33 1.0143622463640e+12 1.1902271386309e+00
1.0888085863526e+33 1.0145913755992e+12 1.2085218070138e+00
1.0923578147593e+33 1.0148166055675e+12 1.2289139326746e+00
1.0959058681691e+33 1.0150376743041e+12 1.2514913142617e+00
1.0994559028386e+33 1.0152547124517e+12 1.2741575152816e+00
1.1030065383497e+33 1.0154679489786e+12 1.2963535808885e+00
1.1065512342355e+33 1.0156771215707e+12 1.3211020788636e+00
1.1100911063427e+33 1.0158817061775e+12 1.3499766940074e+00
1.1136337152865e+33 1.0160817032643e+12 1.3804675975782e+00
1.1171689357853e+33 1.0162769489905e+12 1.4135907493476e+00
1.1206905905667e+33 1.0164664273169e+12 1.4561808310717e+00
1.1242552878720e+33 1.0166518089459e+12 1.4875800149700e+00
1.1279259546361e+33 1.0168408931306e+12 1.4586878861511e+00
1.1315105344032e+33 1.0170347291302e+12 1.4215264303966e+00
1.1351668667778e+33 1.0172273858660e+12 1.4697866179701e+00
1.1387335110582e+33 1.0174128991503e+12 1.5257225486868e+00
1.1422906007327e+33 1.0175913994606e+12 1.5419136645454e+00
1.1458490135308e+33 1.0177675728155e+12 1.5615797701783e+00
1.1494022664345e+33 1.0179412558020e+12 1.5836841877973e+00
1.1529471444148e+33 1.0181117930565e+12 1.6125416166001e+00
1.1567099043102e+33 1.0182843949019e+12 1.6367090241229e+00
1.1602728947364e+33 1.0184553253770e+12 1.6524166266241e+00
1.1638180949409e+33 1.0186190794533e+12 1.6775269830502e+00
1.1673757951507e+33 1.0187800809466e+12 1.7056744180279e+00
1.1711161541376e+33 1.0189426552277e+12 1.7350758905071e+00
1.1746536735554e+33 1.0191016249931e+12 1.7749416748625e+00
1.1782088307081e+33 1.0192532212084e+12 1.8096783161220e+00
1.1819737574564e+33 1.0194072419968e+12 1.8298069651855e+00
1.1855418416645e+33 1.0195601163424e+12 1.8432509001203e+00
1.1891126588244e+33 1.0197078791389e+12 1.8547897096988e+00
1.1928899620419e+33 1.0198591807372e+12 1.8612912653064e+00
1.1964779476338e+33 1.0200106459329e+12 1.8584741155334e+00
1.2000349954297e+33 1.0201573272209e+12 1.8667685367560e+00
1.2037562677027e+33 1.0203046638828e+12 1.9094527295675e+00
